===== PARAMETERS =====
Total rows : 437
Reference system: Sol
Area of search : 1000 ly
Max distance from star 1000 ls
Gas types Class III gas giant +Class IV gas giant +Class V gas giant +Gas giant with ammonia-based life +Gas giant with water-based life +Hellium-rich gas giant
Ref star types : M (Red giant) Star + M (Red dwarf) Star + M (Red super giant) Star + T Tauri Star
==========
System name,Gas Body Name,Distance from Sol (ly),Gas Body Surface Temperature (K),Gas Sub Type,Gas distance from arrival (ls),Gas has multiple stars ?,Ref Star Name,Ref Star Sub Type,Ref Star Temp Class,Ref Star Distance from arrival (ls),Ref Star Radius,Ref Star Luminosity,Ref Star Age,Ref Star Temperature,8th Moon Name,8th Moon Distance from arrival (ls),8th Moon Sub Type,8th Moon Surface Temperature (K),8th Moon Radius
Col 359 Sector EK-F b12-0,Col 359 Sector EK-F b12-0 1,567.95,113,Gas giant with ammonia-based life,497,false,Col 359 Sector EK-F b12-0,M (Red dwarf) Star,7,0,0.4708,,5264,2527,Col 359 Sector EK-F b12-0 1 f,506,Icy body,118,1388.109
Wredguia EB-E d12-27,Wredguia EB-E d12-27 B 2,451.66,113,Gas giant with ammonia-based life,67861.8359,false,Wredguia EB-E d12-27 B,M (Red dwarf) Star,4,68799.1719,0.5812,Va,1580,3230,Wredguia EB-E d12-27 B 2 h,67869.6328,Icy body,95,1165.3246
Synuefe RR-V c18-9,Synuefe RR-V c18-9 1,654.80,113,Gas giant with ammonia-based life,901.1014,false,Synuefe RR-V c18-9,M (Red dwarf) Star,2,0,0.6324,Va,8740,3489,Synuefe RR-V c18-9 1 g,890.4828,Icy body,81,1048.7679
HIP 1771,HIP 1771 5,149.86,112,Gas giant with ammonia-based life,877.1501,false,HIP 1771,M (Red dwarf) Star,0,0,0.716,V,7570,4092,HIP 1771 5 h,867.6044,Icy body,80,1570.4935
Arietis Sector OC-V b2-1,Arietis Sector OC-V b2-1 A 4,195.47,111,Gas giant with ammonia-based life,921.3525,false,Arietis Sector OC-V b2-1 A,M (Red dwarf) Star,1,0,0.5545,Va,1034,3639,Arietis Sector OC-V b2-1 A 4 h,935.8152,Icy body,82,1049.059
NGC 2451A Sector WO-Z b0,NGC 2451A Sector WO-Z b0 2,837.38,111,Gas giant with ammonia-based life,906,false,NGC 2451A Sector WO-Z b0,M (Red dwarf) Star,9,0,0.4186,VI,10874,2127,NGC 2451A Sector WO-Z b0 2 g,896,Icy body,44,1017.4969
Wredguia RZ-K b36-1,Wredguia RZ-K b36-1 3,713.94,111,Gas giant with ammonia-based life,516,false,Wredguia RZ-K b36-1,M (Red dwarf) Star,4,0,0.6097,,786,3167,Wredguia RZ-K b36-1 3 h,517,Icy body,94,539.3822
Wregoe QI-W b45-0,Wregoe QI-W b45-0 3,493.35,110,Gas giant with ammonia-based life,757,false,Wregoe QI-W b45-0,M (Red dwarf) Star,2,0,0.5251,,3130,3445,Wregoe QI-W b45-0 3 h,751,Icy body,80,686.2115
Synuefai KN-I d10-25,Synuefai KN-I d10-25 BCDE 1,598.45,110,Gas giant with ammonia-based life,26161.4297,true,Synuefai KN-I d10-25 B,M (Red dwarf) Star,7,25212.8125,0.4673,Va,1252,2544,Synuefai KN-I d10-25 BCDE 1 h,26162.0273,Icy body,86,1759.6716
Col 285 Sector BI-F b26-8,Col 285 Sector BI-F b26-8 1,201.00,109,Gas giant with ammonia-based life,722.1303,false,Col 285 Sector BI-F b26-8,M (Red dwarf) Star,3,0,0.4998,Va,2676,3290,Col 285 Sector BI-F b26-8 1 h,729.5085,Icy body,76,1625.9725
LHS 266,LHS 266 B 11,67.53,109,Gas giant with ammonia-based life,153794.2344,false,LHS 266 B,M (Red dwarf) Star,9,154550.0625,0.3904,Va,1652,2293,LHS 266 B 11 h,153800.6875,Icy body,50,1538.0641
Wredguia HA-W b29-3,Wredguia HA-W b29-3 9,692.23,108,Gas giant with ammonia-based life,832,false,Wredguia HA-W b29-3,M (Red dwarf) Star,4,0,0.5161,,216,3229,Wredguia HA-W b29-3 9 f a,842,Icy body,177,721.8893
Saktas,Saktas 9,130.54,107,Gas giant with ammonia-based life,686.9044,false,Saktas,M (Red dwarf) Star,5,0,0.576,Va,3216,2858,Saktas 9 h,689.2799,Icy body,73,952.8568
Synuefai FL-P b51-0,Synuefai FL-P b51-0 1,486.16,106,Gas giant with ammonia-based life,843.9714,false,Synuefai FL-P b51-0,M (Red dwarf) Star,6,0,0.4319,,8310,2770,Synuefai FL-P b51-0 1 h,850.8834,Icy body,58,1724.7158
Col 285 Sector QP-F c11-1,Col 285 Sector QP-F c11-1 8,329.91,106,Gas giant with ammonia-based life,915.1316,false,Col 285 Sector QP-F c11-1,M (Red dwarf) Star,2,0,0.6692,Va,9400,3484,Col 285 Sector QP-F c11-1 8 h,917.3176,Icy body,81,953.7996
LP 91-140,LP 91-140 A 1,53.47,105,Gas giant with ammonia-based life,982.5806,false,LP 91-140 A,M (Red dwarf) Star,5,0,0.5043,V,8716,2837,LP 91-140 A 1 h,977.1471,Icy body,107,1553.3285
Coalsack Sector DB-X c1-2,Coalsack Sector DB-X c1-2 C 10,437.95,105,Gas giant with ammonia-based life,226978.8281,false,Coalsack Sector DB-X c1-2 C,M (Red dwarf) Star,5,226886.9062,0.4975,,476,2927,Coalsack Sector DB-X c1-2 C 10 h,226979.9062,Icy body,201,1168.0861
Col 285 Sector GW-I b11-3,Col 285 Sector GW-I b11-3 2,237.64,105,Gas giant with ammonia-based life,574.271,false,Col 285 Sector GW-I b11-3,M (Red dwarf) Star,7,0,0.4416,Va,1726,2573,Col 285 Sector GW-I b11-3 2 h,578.1953,Icy body,118,1749.2429
HIP 5443,HIP 5443 2,122.86,104,Gas giant with ammonia-based life,478.4205,false,HIP 5443,M (Red dwarf) Star,1,0,0.6439,V,6634,3648,HIP 5443 2 h,478.0508,Icy body,93,583.4744
Kaledoni,Kaledoni 6,115.54,104,Gas giant with ammonia-based life,767.5574,false,Kaledoni,M (Red dwarf) Star,5,0,0.4274,Va,708,2831,Kaledoni 6 g a,777.2836,Icy body,60,647.7716
Col 359 Sector RS-Y b2-6,Col 359 Sector RS-Y b2-6 2,563.46,104,Gas giant with ammonia-based life,659.0249,false,Col 359 Sector RS-Y b2-6,M (Red dwarf) Star,9,0,0.4088,VI,978,2101,Col 359 Sector RS-Y b2-6 2 h,670.4727,Icy body,49,1051.304
Col 359 Sector NF-K b11-1,Col 359 Sector NF-K b11-1 3,406.49,103,Gas giant with ammonia-based life,682.2541,false,Col 359 Sector NF-K b11-1,M (Red dwarf) Star,6,0,0.4453,,996,2629,Col 359 Sector NF-K b11-1 3 h,690.4815,Icy body,60,797.8904
Synuefe AO-L b55-9,Synuefe AO-L b55-9 3,311.81,103,Gas giant with ammonia-based life,740.3367,false,Synuefe AO-L b55-9,M (Red dwarf) Star,8,0,0.3984,,244,2479,Synuefe AO-L b55-9 3 h,731.9388,Icy body,53,1428.6304
Pleiades Sector LN-T c3-1,Pleiades Sector LN-T c3-1 D 1,332.00,103,Gas giant with ammonia-based life,69566.4922,false,Pleiades Sector LN-T c3-1 D,M (Red dwarf) Star,4,70415.8594,0.4731,Va,1262,3134,Pleiades Sector LN-T c3-1 D 1 h,69573.0703,Icy body,77,599.4399
Col 285 Sector SF-I b25-5,Col 285 Sector SF-I b25-5 A 1,286.77,103,Gas giant with ammonia-based life,566,false,Col 285 Sector SF-I b25-5 A,M (Red dwarf) Star,9,0,0.4261,VI,2466,2063,Col 285 Sector SF-I b25-5 A 1 g,578,Icy body,55,1115.9017
Synuefai SA-U b47-0,Synuefai SA-U b47-0 A 2,704.63,103,Gas giant with ammonia-based life,697.0067,false,Synuefai SA-U b47-0 A,M (Red dwarf) Star,6,0,0.5353,Va,1890,2675,Synuefai SA-U b47-0 A 2 g,687.4882,Icy body,112,977.3254
Synuefai ZE-U c5-0,Synuefai ZE-U c5-0 BC 5,901.00,103,Gas giant with ammonia-based life,18937.1973,true,Synuefai ZE-U c5-0 C,M (Red dwarf) Star,9,18501.8574,0.3756,,12934,2190,Synuefai ZE-U c5-0 BC 5 h,18945.373,Icy body,84,1176.6355
HIP 56092,HIP 56092 AB 1,129.64,102,Gas giant with ammonia-based life,3348.4585,true,HIP 56092 B,M (Red dwarf) Star,9,2712.7539,0.4046,VI,6892,2004,HIP 56092 AB 1 h,3374.9634,Icy body,50,1796.337
Synuefe WC-P b52-1,Synuefe WC-P b52-1 A 7,270.23,102,Gas giant with ammonia-based life,635.8629,false,Synuefe WC-P b52-1 A,M (Red dwarf) Star,6,0,0.4137,Va,352,2632,Synuefe WC-P b52-1 A 7 h,637.7802,Icy body,108,1459.7216
Musca Dark Region NX-U c2-17,Musca Dark Region NX-U c2-17 1,517.83,102,Gas giant with ammonia-based life,793,false,Musca Dark Region NX-U c2-17,M (Red dwarf) Star,2,0,0.576,,7902,3523,Musca Dark Region NX-U c2-17 1 h,804,Icy body,82,734.5359
Synuefai SQ-X b46-0,Synuefai SQ-X b46-0 1,886.57,102,Gas giant with ammonia-based life,788,false,Synuefai SQ-X b46-0,M (Red dwarf) Star,7,0,0.3974,,11464,2532,Synuefai SQ-X b46-0 1 h,789,Icy body,52,1057.2062
Swoiwns HA-W c3-2,Swoiwns HA-W c3-2 A 1,850.40,102,Gas giant with ammonia-based life,900.3079,false,Swoiwns HA-W c3-2 A,M (Red dwarf) Star,3,0,0.6807,Va,11812,3361,Swoiwns HA-W c3-2 A 1 h,896.6584,Icy body,82,1204.5533
Tricastini,Tricastini 1,138.66,100,Gas giant with ammonia-based life,601.6831,false,Tricastini,M (Red dwarf) Star,9,0,0.3972,Va,2266,2258,Tricastini 1 h,589.6176,Icy body,53,1418.6995
