System name,Distance from Sol (ly),Counting moons of moons,System stars count,System suitable stars count,Gas Body Name,Gas Body Surface Temperature (K),Gas Sub Type,Gas distance from arrival (ls),Gas has multiple stars ?,Gas star as orbit center ?,Gas orbit centers count,Gas orbital eccentricity,Gas semi major axis (ls),Gas semi minor axis (ls),Ref Star Name,Ref Star Sub Type,Ref Star Temp Class,Ref Star Distance from arrival (ls),Ref Star Radius,Ref Star Luminosity,Ref Star Age,Ref Star Temperature,Biggest Suitable Star Radius,8th Moon Name,8th Moon Distance from arrival (ls),8th Moon Sub Type,8th Moon Surface Temperature (K),8th Moon Radius,Star Types,Is populated,Has M or TT Star ?,Coldest M or TT Star temp.,Coldest M or TT Star lum.,Has Toroid Station
Tangi,94.71,true,1,1,Tangi,1902,L (Brown dwarf) Star,0,false,false,0,,0,0,Tangi,L (Brown dwarf) Star,9,0,0.2934,V,7966,1902,0.2934,Tangi 11 c,1784,Icy body,20,554.7974,-L (Brown dwarf) Star-,1,false,,,false
Ix Chakan,71.67,true,1,1,Ix Chakan,1902,L (Brown dwarf) Star,0,false,false,0,,0,0,Ix Chakan,L (Brown dwarf) Star,9,0,0.3604,V,3082,1902,0.3604,Ix Chakan 3 c,517,Icy body,44,868.1654,-L (Brown dwarf) Star-,1,false,,,false
Ngurelban,54.55,true,4,4,Ngurelban B,1900,L (Brown dwarf) Star,6871,false,false,2,0.0066,4986.856368000001,4986.747753085476,Ngurelban B,L (Brown dwarf) Star,9,6871,0.3239,V,12406,1900,0.5976,Ngurelban B 6,6831,Icy body,112,4513.6548,-M (Red dwarf) Star-L (Brown dwarf) Star-L (Brown dwarf) Star-T (Brown dwarf) Star-,1,true,3217,Va,false
Mutujiali,91.73,true,3,3,Mutujiali C,1899,L (Brown dwarf) Star,89730,false,false,1,0.0096,60866.334477,60863.52969168355,Mutujiali C,L (Brown dwarf) Star,9,89730,0.3925,V,318,1899,0.4691,Mutujiali C 3,89745,Icy body,187,3329.4595,-L (Brown dwarf) Star-L (Brown dwarf) Star-M (Red dwarf) Star-,1,true,2810,Va,false
Piscium Sector IH-U a3-1,82.14,true,1,1,Piscium Sector IH-U a3-1,1899,L (Brown dwarf) Star,0,false,false,0,,0,0,Piscium Sector IH-U a3-1,L (Brown dwarf) Star,9,0,0.3235,Vz,228,1899,0.3235,Piscium Sector IH-U a3-1 6,3367,Icy body,20,2157.5752,-L (Brown dwarf) Star-,0,false,,,false
Alrai Sector GW-N a6-1,91.52,true,1,1,Alrai Sector GW-N a6-1,1897,L (Brown dwarf) Star,0,false,false,0,,0,0,Alrai Sector GW-N a6-1,L (Brown dwarf) Star,9,0,0.351,V,376,1897,0.351,Alrai Sector GW-N a6-1 6,1036,Icy body,29,3870.8557,-L (Brown dwarf) Star-,0,false,,,false
LP 943-72,65.79,true,2,2,LP 943-72 B,1893,L (Brown dwarf) Star,420767,false,false,1,0.0718,282394.76387850003,281665.9169282253,LP 943-72 B,L (Brown dwarf) Star,9,420767,0.3018,V,8024,1893,0.4985,LP 943-72 B 5,416461,Icy body,20,8448.1484,-M (Red dwarf) Star-L (Brown dwarf) Star-,1,true,2805,V,false
Kurmodiae,81.91,true,3,3,Kurmodiae C,1892,L (Brown dwarf) Star,19757,false,false,2,0.0418,1735.040385,1733.52395633806,Kurmodiae C,L (Brown dwarf) Star,9,19757,0.3154,V,11670,1892,0.6996,Kurmodiae C 6 a,19882,Rocky body,168,671.0993,-K (Yellow-Orange) Star-L (Brown dwarf) Star-M (Red dwarf) Star-,1,true,3481,Va,false
Amenniya,98.17,true,1,1,Amenniya,1891,L (Brown dwarf) Star,0,false,false,0,,0,0,Amenniya,L (Brown dwarf) Star,9,0,0.374,V,446,1891,0.374,Amenniya 3,18,Icy body,232,1557.083,-L (Brown dwarf) Star-,1,false,,,false
Nepi,72.78,true,4,4,Nepi D,1890,L (Brown dwarf) Star,24217,false,false,1,0.0022,20770.983324,20770.93305815954,Nepi D,L (Brown dwarf) Star,9,24217,0.327,V,510,1890,0.5391,Nepi D 6,24134,Icy body,138,11854.585,-M (Red dwarf) Star-M (Red dwarf) Star-L (Brown dwarf) Star-M (Red dwarf) Star-,1,true,2231,Va,false
G 172-13,56.27,true,2,2,G 172-13 B,1888,L (Brown dwarf) Star,370981,false,false,1,0.1756,277303.2162615,272994.36770192924,G 172-13 B,L (Brown dwarf) Star,9,370981,0.3382,V,9576,1888,0.4501,G 172-13 B 6,367231,Icy body,20,10446.2188,-M (Red dwarf) Star-L (Brown dwarf) Star-,1,true,2655,V,false
Alrai Sector SI-T a3-2,71.83,true,2,2,Alrai Sector SI-T a3-2 A,1884,L (Brown dwarf) Star,0,false,false,1,0.0754,3344.0820075,3334.562637797551,Alrai Sector SI-T a3-2 A,L (Brown dwarf) Star,9,0,0.3459,V,258,1884,0.3459,Alrai Sector SI-T a3-2 A 6,1472,Icy body,26,5569.7881,-L (Brown dwarf) Star-T (Brown dwarf) Star-,0,false,,,false
LP 878-87,52.87,true,3,3,LP 878-87 B,1881,L (Brown dwarf) Star,46915,false,false,2,0.1079,2873.1709889999997,2856.396705462951,LP 878-87 B,L (Brown dwarf) Star,9,46915,0.3022,V,10038,1881,0.4908,LP 878-87 B 7,46733,Icy body,69,5476.6294,-M (Red dwarf) Star-L (Brown dwarf) Star-L (Brown dwarf) Star-,1,true,2816,V,false
LP 157-32,79.56,true,2,2,LP 157-32 B,1878,L (Brown dwarf) Star,249256,false,false,1,0.1362,212796.64030949998,210813.66534191804,LP 157-32 B,L (Brown dwarf) Star,9,249256,0.3203,V,3620,1878,0.5917,LP 157-32 B 6,248498,Icy body,28,5698.9165,-L (Brown dwarf) Star-M (Red dwarf) Star-,0,true,3277,V,false
LP 294-40,74.16,true,2,2,LP 294-40 B,1877,L (Brown dwarf) Star,98141,false,false,1,0.0462,57877.094925,57815.29433672634,LP 294-40 B,L (Brown dwarf) Star,9,98141,0.3152,V,11644,1877,0.3932,LP 294-40 B 7,99887,Icy body,20,8547.1729,-M (Red dwarf) Star-L (Brown dwarf) Star-,1,true,2229,V,false
Toolfa,14.01,true,2,2,Toolfa B,1876,L (Brown dwarf) Star,50934,false,false,1,0.0623,34999.3623915,34931.37502005914,Toolfa B,L (Brown dwarf) Star,9,50934,0.3822,V,7004,1876,0.5254,Toolfa B 6,49842,Icy body,32,8902.3799,-L (Brown dwarf) Star-M (Red dwarf) Star-,1,true,3102,V,false
Herci,81.36,true,1,1,Herci,1875,L (Brown dwarf) Star,0,false,false,0,,0,0,Herci,L (Brown dwarf) Star,9,0,0.3544,V,344,1875,0.3544,Herci 10 e,1460,Icy body,25,527.9799,-L (Brown dwarf) Star-,1,false,,,false
Core Sys Sector CB-O a6-0,39.86,true,1,1,Core Sys Sector CB-O a6-0,1873,L (Brown dwarf) Star,0,false,false,0,,0,0,Core Sys Sector CB-O a6-0,L (Brown dwarf) Star,9,0,0.2986,V,2054,1873,0.2986,Core Sys Sector CB-O a6-0 7,3295,Icy body,20,6588.8608,-L (Brown dwarf) Star-,0,false,,,false
Alrai Sector YO-R a4-1,63.87,true,1,1,Alrai Sector YO-R a4-1,1872,L (Brown dwarf) Star,0,false,false,0,,0,0,Alrai Sector YO-R a4-1,L (Brown dwarf) Star,9,0,0.3312,V,13048,1872,0.3312,Alrai Sector YO-R a4-1 6,3192,Icy body,20,2795.1836,-L (Brown dwarf) Star-,0,false,,,false
Imiutli,95.71,true,1,1,Imiutli,1870,L (Brown dwarf) Star,0,false,false,0,,0,0,Imiutli,L (Brown dwarf) Star,9,0,0.3372,V,5036,1870,0.3372,Imiutli 5 b,1302,Icy body,25,657.7254,-L (Brown dwarf) Star-,1,false,,,false
Col 285 Sector GI-P b20-2,95.61,true,2,2,Col 285 Sector GI-P b20-2 B,1869,L (Brown dwarf) Star,48400,false,false,1,0.0767,30691.452226499998,30601.041843083254,Col 285 Sector GI-P b20-2 B,L (Brown dwarf) Star,9,48400,0.3094,V,6312,1869,0.4109,Col 285 Sector GI-P b20-2 B 6,50283,Icy body,24,7349.6748,-L (Brown dwarf) Star-M (Red dwarf) Star-,0,true,2418,Va,false
AU Microscopii,32.33,true,3,3,AU Microscopii C,1862,L (Brown dwarf) Star,85288,false,false,1,0.3055,52707.802329,50187.95173219676,AU Microscopii C,L (Brown dwarf) Star,9,85288,0.3661,V,10370,1862,0.613,AU Microscopii C 6,87021,Icy body,30,10201.249,-M (Red dwarf) Star-M (Red dwarf) Star-L (Brown dwarf) Star-,0,true,2099,VI,false
Puppis Sector ZJ-R a4-3,92.76,true,1,1,Puppis Sector ZJ-R a4-3,1862,L (Brown dwarf) Star,0,false,false,0,,0,0,Puppis Sector ZJ-R a4-3,L (Brown dwarf) Star,9,0,0.3658,V,4676,1862,0.3658,Puppis Sector ZJ-R a4-3 5,1717,Icy body,23,2621.1714,-L (Brown dwarf) Star-,0,false,,,false
Hesatsu,96.57,true,2,2,Hesatsu B,1861,L (Brown dwarf) Star,56319,false,false,1,0.1752,40389.5146005,39764.80447912765,Hesatsu B,L (Brown dwarf) Star,9,56319,0.3089,V,6510,1861,0.521,Hesatsu B 6,56910,Icy body,25,6861.3135,-M (Red dwarf) Star-L (Brown dwarf) Star-,1,true,2944,Va,false
LHS 2065,27.92,true,2,2,LHS 2065 B,1861,L (Brown dwarf) Star,46191,false,false,1,0.1673,33084.8798085,32618.58267297634,LHS 2065 B,L (Brown dwarf) Star,9,46191,0.3295,V,5646,1861,0.5667,LHS 2065 B 5,46707,Icy body,46,4220.0073,-M (Red dwarf) Star-L (Brown dwarf) Star-,1,true,3252,V,false
Piscium Sector GS-S a4-0,94.74,true,1,1,Piscium Sector GS-S a4-0,1860,L (Brown dwarf) Star,0,false,false,0,,0,0,Piscium Sector GS-S a4-0,L (Brown dwarf) Star,9,0,0.3822,V,1878,1860,0.3822,Piscium Sector GS-S a4-0 5,2850,Icy body,20,7417.6621,-L (Brown dwarf) Star-,0,false,,,false
Tarutaalli,87.08,true,2,2,Tarutaalli B,1860,L (Brown dwarf) Star,197027,false,false,1,0.0066,121382.1179415,121379.47421018068,Tarutaalli B,L (Brown dwarf) Star,9,197027,0.3257,V,12630,1860,0.4763,Tarutaalli B 6,199800,Icy body,20,3190.4563,-L (Brown dwarf) Star-M (Red dwarf) Star-,1,true,2623,Va,false
Piscium Sector KY-H a10-0,63.97,true,1,1,Piscium Sector KY-H a10-0,1859,L (Brown dwarf) Star,0,false,false,0,,0,0,Piscium Sector KY-H a10-0,L (Brown dwarf) Star,9,0,0.3719,Vz,236,1859,0.3719,Piscium Sector KY-H a10-0 7,1280,Icy body,27,7550.2788,-L (Brown dwarf) Star-,0,false,,,false
LHS 3315,75.66,true,2,2,LHS 3315 B,1857,L (Brown dwarf) Star,237736,false,false,1,0.0809,155700.238707,155189.88805956978,LHS 3315 B,L (Brown dwarf) Star,9,237736,0.3059,V,8908,1857,0.5088,LHS 3315 B 6,236605,Icy body,21,6887.3608,-M (Red dwarf) Star-L (Brown dwarf) Star-,1,true,2826,V,false
Ross 112,77.64,true,2,2,Ross 112 B,1857,L (Brown dwarf) Star,151348,false,false,1,0.0846,92467.422918,92135.92663959828,Ross 112 B,L (Brown dwarf) Star,9,151348,0.3528,V,8658,1857,0.4941,Ross 112 B 7,152106,Icy body,38,7502.335,-L (Brown dwarf) Star-M (Red dwarf) Star-,1,true,2852,V,false
Wolf 1051,54.88,true,2,2,Wolf 1051 B,1855,L (Brown dwarf) Star,4648,false,false,1,0.1174,2487.1906215,2469.9909755195304,Wolf 1051 B,L (Brown dwarf) Star,9,4648,0.3473,V,8176,1855,0.4416,Wolf 1051 B 7,4530,Icy body,101,4885.1567,-M (Red dwarf) Star-L (Brown dwarf) Star-,1,true,2592,V,false
Yu Tiku,96.01,true,2,2,Yu Tiku A,1855,L (Brown dwarf) Star,0,false,false,1,0.2616,118340.2832625,114219.24593099464,Yu Tiku A,L (Brown dwarf) Star,9,0,0.3354,V,698,1855,0.3354,Yu Tiku A 5,1943,Icy body,21,7448.2896,-L (Brown dwarf) Star-T (Brown dwarf) Star-,1,false,,,false
Trianguli Sector IN-S a4-3,88.70,true,1,1,Trianguli Sector IN-S a4-3,1855,L (Brown dwarf) Star,0,false,false,0,,0,0,Trianguli Sector IN-S a4-3,L (Brown dwarf) Star,9,0,0.2845,V,1588,1855,0.2845,Trianguli Sector IN-S a4-3 7,3348,Icy body,20,12366.7764,-L (Brown dwarf) Star-,0,false,,,false
Alrai Sector OC-M a7-1,88.83,true,1,1,Alrai Sector OC-M a7-1,1852,L (Brown dwarf) Star,0,false,false,0,,0,0,Alrai Sector OC-M a7-1,L (Brown dwarf) Star,9,0,0.3157,V,11338,1852,0.3157,Alrai Sector OC-M a7-1 7,3918,Icy body,20,2913.4109,-L (Brown dwarf) Star-,0,false,,,false
Puppis Sector BF-R a4-0,93.95,true,1,1,Puppis Sector BF-R a4-0,1851,L (Brown dwarf) Star,0,false,false,0,,0,0,Puppis Sector BF-R a4-0,L (Brown dwarf) Star,9,0,0.2977,V,2778,1851,0.2977,Puppis Sector BF-R a4-0 6,393,Icy body,44,8018.8638,-L (Brown dwarf) Star-,0,false,,,false
Tauerni,91.28,true,2,2,Tauerni B,1849,L (Brown dwarf) Star,84999,false,false,1,0.3551,47632.372573500004,44528.09088466162,Tauerni B,L (Brown dwarf) Star,9,84999,0.3144,V,3494,1849,0.5059,Tauerni B 10 e,85415,Icy body,32,902.9498,-M (Red giant) Star-L (Brown dwarf) Star-,1,true,2502,IVb,false
LP 355-51,70.49,true,2,2,LP 355-51 B,1849,L (Brown dwarf) Star,311918,false,false,1,0.2291,224023.85360550001,218065.46695886136,LP 355-51 B,L (Brown dwarf) Star,9,311918,0.3646,V,7260,1849,0.5014,LP 355-51 B 3 c,310183,Icy body,27,1522.5411,-L (Brown dwarf) Star-M (Red dwarf) Star-,1,true,2844,V,false
Trianguli Sector ZF-N a7-2,99.99,true,2,2,Trianguli Sector ZF-N a7-2 A,1849,L (Brown dwarf) Star,0,false,false,1,0.1264,25168.5646875,24966.696555515504,Trianguli Sector ZF-N a7-2 A,L (Brown dwarf) Star,9,0,0.3232,V,7850,1849,0.3232,Trianguli Sector ZF-N a7-2 A 7,1776,Icy body,22,2042.1335,-L (Brown dwarf) Star-T (Brown dwarf) Star-,0,false,,,false
Arawoyn,86.15,true,1,1,Arawoyn,1845,L (Brown dwarf) Star,0,false,false,0,,0,0,Arawoyn,L (Brown dwarf) Star,9,0,0.3511,V,10426,1845,0.3511,Arawoyn 5 b,731,Icy body,34,551.9257,-L (Brown dwarf) Star-,1,false,,,false
Puppis Sector TD-T a3-1,76.80,true,1,1,Puppis Sector TD-T a3-1,1836,L (Brown dwarf) Star,0,false,false,0,,0,0,Puppis Sector TD-T a3-1,L (Brown dwarf) Star,9,0,0.2787,V,462,1836,0.2787,Puppis Sector TD-T a3-1 6,3764,Icy body,20,8104.8486,-L (Brown dwarf) Star-,0,false,,,false
LP 91-140,53.47,true,3,3,LP 91-140 C,1834,L (Brown dwarf) Star,120560,false,false,2,0.0136,612.478737,612.4220923470323,LP 91-140 C,L (Brown dwarf) Star,9,120560,0.2777,V,8716,1834,0.5043,LP 91-140 C 6,120535,Icy body,89,2463.5042,-M (Red dwarf) Star-L (Brown dwarf) Star-L (Brown dwarf) Star-,1,true,2837,V,false
Nandjalato,76.33,true,4,4,Nandjalato D,1834,L (Brown dwarf) Star,241834,false,false,1,0.1259,227608.256421,225797.16331708047,Nandjalato D,L (Brown dwarf) Star,9,241834,0.325,V,2818,1834,0.5821,Nandjalato D 5,240292,Icy body,24,6304.2065,-M (Red dwarf) Star-M (Red dwarf) Star-M (Red dwarf) Star-L (Brown dwarf) Star-,1,true,2052,VI,false
LTT 15899,83.14,true,3,3,LTT 15899 C,1832,L (Brown dwarf) Star,12372,false,false,1,0.274,9000.802687500001,8656.33919418213,LTT 15899 C,L (Brown dwarf) Star,9,12372,0.3395,V,4278,1832,0.8142,LTT 15899 C 3 a,12823,Icy body,161,872.3608,-K (Yellow-Orange) Star-L (Brown dwarf) Star-M (Red dwarf) Star-,1,true,2531,Va,false
Charunder,41.50,true,2,2,Charunder B,1829,L (Brown dwarf) Star,3768,false,false,1,0.207,2196.2208060000003,2148.6527335362994,Charunder B,L (Brown dwarf) Star,9,3768,0.3311,V,428,1829,0.513,Charunder B 6,3886,Icy body,157,5907.998,-L (Brown dwarf) Star-M (Red dwarf) Star-,1,true,3165,Va,false
Core Sys Sector XJ-R a4-0,40.44,true,1,1,Core Sys Sector XJ-R a4-0,1827,L (Brown dwarf) Star,0,false,false,0,,0,0,Core Sys Sector XJ-R a4-0,L (Brown dwarf) Star,9,0,0.3304,V,4442,1827,0.3304,Core Sys Sector XJ-R a4-0 7,2562,Icy body,20,9130.9736,-L (Brown dwarf) Star-,0,false,,,false
Alrai Sector JB-O a6-3,73.25,true,2,2,Alrai Sector JB-O a6-3 A,1826,L (Brown dwarf) Star,0,false,false,1,0.1267,20225.8203615,20062.822132099554,Alrai Sector JB-O a6-3 A,L (Brown dwarf) Star,9,0,0.3263,V,1230,1826,0.3263,Alrai Sector JB-O a6-3 A 7,2146,Icy body,21,10333.1094,-L (Brown dwarf) Star-L (Brown dwarf) Star-,0,false,,,false
Trianguli Sector NO-Q a5-3,85.76,true,1,1,Trianguli Sector NO-Q a5-3,1825,L (Brown dwarf) Star,0,false,false,0,,0,0,Trianguli Sector NO-Q a5-3,L (Brown dwarf) Star,9,0,0.3356,V,11834,1825,0.3356,Trianguli Sector NO-Q a5-3 7,1236,Icy body,25,2842.438,-L (Brown dwarf) Star-,0,false,,,false
Hodnabo,68.89,true,2,2,Hodnabo,1825,L (Brown dwarf) Star,0,false,false,0,,0,0,Hodnabo,L (Brown dwarf) Star,9,0,0.3119,V,8558,1825,0.3119,Hodnabo 5,2371,Icy body,20,11485.4736,-L (Brown dwarf) Star-L (Brown dwarf) Star-,0,false,,,false
Hyades Sector RL-H a25-0,64.53,true,3,3,Hyades Sector RL-H a25-0 A,1824,L (Brown dwarf) Star,0,false,false,2,0.3254,5757.6693915,5444.316635870558,Hyades Sector RL-H a25-0 A,L (Brown dwarf) Star,9,0,0.3419,V,11636,1824,0.3419,Hyades Sector RL-H a25-0 A 5,228,Icy body,64,8052.8413,-L (Brown dwarf) Star-T (Brown dwarf) Star-T (Brown dwarf) Star-,0,false,,,false
LP 440-38,48.65,true,2,2,LP 440-38 B,1820,L (Brown dwarf) Star,105285,false,false,1,0.0707,70270.5328065,70094.68951572577,LP 440-38 B,L (Brown dwarf) Star,9,105285,0.2998,V,8660,1820,0.5257,LP 440-38 B 7,108881,Class I gas giant,23,45318.6289,-M (Red dwarf) Star-L (Brown dwarf) Star-,1,true,3017,V,false
LTT 8679,49.43,true,4,4,LTT 8679 C,1817,L (Brown dwarf) Star,86986,false,false,2,0.5586,40269.603699,33401.10663944407,LTT 8679 C,L (Brown dwarf) Star,9,86986,0.3083,V,9922,1817,0.4732,LTT 8679 C 4 a,85786,Icy body,32,2844.5791,-M (Red dwarf) Star-T (Brown dwarf) Star-L (Brown dwarf) Star-T (Brown dwarf) Star-,1,true,2686,V,false
Kokatese,82.16,true,1,1,Kokatese,1814,L (Brown dwarf) Star,0,false,false,0,,0,0,Kokatese,L (Brown dwarf) Star,9,0,0.3438,V,11104,1814,0.3438,Kokatese 6,61,Icy body,176,7768.96,-L (Brown dwarf) Star-,1,false,,,false
Core Sys Sector WJ-R a4-0,45.76,true,1,1,Core Sys Sector WJ-R a4-0,1811,L (Brown dwarf) Star,0,false,false,0,,0,0,Core Sys Sector WJ-R a4-0,L (Brown dwarf) Star,9,0,0.3405,V,12841,1811,0.3405,Core Sys Sector WJ-R a4-0 6,2983,Icy body,20,2061.998,-L (Brown dwarf) Star-,0,false,,,false
Marajoara,84.31,true,1,1,Marajoara,1811,L (Brown dwarf) Star,0,false,false,0,,0,0,Marajoara,L (Brown dwarf) Star,9,0,0.3432,V,1244,1811,0.3432,Marajoara 2,17,Icy body,218,2734.8318,-L (Brown dwarf) Star-,1,false,,,false
Core Sys Sector GW-N a6-0,47.30,true,1,1,Core Sys Sector GW-N a6-0,1810,L (Brown dwarf) Star,0,false,false,0,,0,0,Core Sys Sector GW-N a6-0,L (Brown dwarf) Star,9,0,0.3083,V,486,1810,0.3083,Core Sys Sector GW-N a6-0 6,2891,Icy body,20,7799.2461,-L (Brown dwarf) Star-,0,false,,,false
Col 285 Sector TP-U b17-6,76.05,true,3,3,Col 285 Sector TP-U b17-6 B,1804,L (Brown dwarf) Star,325161,false,false,2,0.2424,14577.433065000001,14142.681478774552,Col 285 Sector TP-U b17-6 B,L (Brown dwarf) Star,9,325161,0.3562,V,8510,1804,0.4733,Col 285 Sector TP-U b17-6 B 6,323850,Icy body,26,7200.6777,-M (Red dwarf) Star-L (Brown dwarf) Star-L (Brown dwarf) Star-,0,true,2635,Va,false
Moros,58.27,true,3,3,Moros B,1802,L (Brown dwarf) Star,208479,false,false,1,0.0525,183055.6429065,182803.19527639495,Moros B,L (Brown dwarf) Star,9,208479,0.3248,V,1628,1802,0.8724,Moros B 2 e,208812,Icy body,58,1010.246,-K (Yellow-Orange) Star-L (Brown dwarf) Star-Y (Brown dwarf) Star-,1,false,,,false
DS Leonis,38.39,true,2,2,DS Leonis B,1800,L (Brown dwarf) Star,3147,false,false,1,0.1039,2512.5400755,2498.9415773816854,DS Leonis B,L (Brown dwarf) Star,9,3147,0.3411,V,10044,1800,0.5555,DS Leonis B 6,2874,Icy body,87,4773.8677,-L (Brown dwarf) Star-M (Red dwarf) Star-,1,true,3181,V,false
FK Aquarii,28.37,true,5,5,FK Aquarii D,1796,L (Brown dwarf) Star,592,false,false,1,0.1385,541.1709225,535.9553518317728,FK Aquarii D,L (Brown dwarf) Star,9,592,0.2896,V,3084,1796,0.5745,FK Aquarii D 7,625,High metal content world,223,2291.8601,-L (Brown dwarf) Star-L (Brown dwarf) Star-Y (Brown dwarf) Star-T (Brown dwarf) Star-M (Red dwarf) Star-,1,true,3259,V,false
Svara,94.74,true,3,3,Svara C,1796,L (Brown dwarf) Star,323941,false,false,2,0.1089,28054.3106025,27887.463477951344,Svara C,L (Brown dwarf) Star,9,323941,0.2812,V,8142,1796,0.9979,Svara C 12 c,325269,Icy body,40,748.9153,-M (Red dwarf) Star-L (Brown dwarf) Star-G (White-Yellow) Star-,1,true,3324,Va,false
Trianguli Sector TU-O a6-0,85.65,true,1,1,Trianguli Sector TU-O a6-0,1792,L (Brown dwarf) Star,0,false,false,0,,0,0,Trianguli Sector TU-O a6-0,L (Brown dwarf) Star,9,0,0.3092,Vz,238,1792,0.3092,Trianguli Sector TU-O a6-0 6 a,277,Icy body,51,3498.9248,-L (Brown dwarf) Star-,0,false,,,false
Crucis Sector HW-W b1-6,91.14,true,2,2,Crucis Sector HW-W b1-6 B,1791,L (Brown dwarf) Star,9275,false,false,1,0.1356,6830.6299425,6767.539956489109,Crucis Sector HW-W b1-6 B,L (Brown dwarf) Star,9,9275,0.2806,V,10510,1791,0.5321,Crucis Sector HW-W b1-6 B 5,10010,Icy body,50,4762.3145,-M (Red dwarf) Star-L (Brown dwarf) Star-,0,true,3088,Va,false
V2160 Cygni,90.91,true,2,2,V2160 Cygni B,1790,L (Brown dwarf) Star,18246,false,false,1,0.2339,10607.8981905,10313.642090542333,V2160 Cygni B,L (Brown dwarf) Star,9,18246,0.3153,V,7886,1790,0.5016,V2160 Cygni B 7,16929,Class I gas giant,43,38018.1602,-M (Red dwarf) Star-L (Brown dwarf) Star-,1,true,3028,V,false
Finti,91.65,true,1,1,Finti,1790,L (Brown dwarf) Star,0,false,false,0,,0,0,Finti,L (Brown dwarf) Star,9,0,0.3378,V,506,1790,0.3378,Finti 10 e,1049,Icy body,27,623.1956,-L (Brown dwarf) Star-,1,false,,,false
FF Andromedae,69.12,true,3,3,FF Andromedae C,1790,L (Brown dwarf) Star,201680,false,false,1,0.2629,136331.958438,131536.22105284786,FF Andromedae C,L (Brown dwarf) Star,9,201680,0.2704,V,9520,1790,0.4786,FF Andromedae C 4,199377,Icy body,20,7029.7568,-M (Red dwarf) Star-L (Brown dwarf) Star-L (Brown dwarf) Star-,1,true,2773,V,false
Ualangur,89.16,true,2,2,Ualangur A,1788,L (Brown dwarf) Star,0,false,false,1,0.2141,2463.9868890000002,2406.851338793067,Ualangur A,L (Brown dwarf) Star,9,0,0.2979,V,5512,1788,0.2979,Ualangur A 6,581,Icy body,37,4021.4751,-L (Brown dwarf) Star-T (Brown dwarf) Star-,1,false,,,false
Puppis Sector BQ-P a5-1,69.71,true,2,2,Puppis Sector BQ-P a5-1 A,1784,L (Brown dwarf) Star,0,false,false,1,0.2751,38037.7040355,36570.042722021295,Puppis Sector BQ-P a5-1 A,L (Brown dwarf) Star,9,0,0.3174,V,7034,1784,0.3174,Puppis Sector BQ-P a5-1 A 7,3551,Icy body,20,2488.4004,-L (Brown dwarf) Star-T (Brown dwarf) Star-,0,false,,,false
Tascheter Sector YE-Q a5-1,60.27,true,1,1,Tascheter Sector YE-Q a5-1,1780,L (Brown dwarf) Star,0,false,false,0,,0,0,Tascheter Sector YE-Q a5-1,L (Brown dwarf) Star,9,0,0.3244,V,342,1780,0.3244,Tascheter Sector YE-Q a5-1 7,2450,Icy body,20,3028.4807,-L (Brown dwarf) Star-,0,false,,,false
Loha,93.66,true,3,3,Loha C,1778,L (Brown dwarf) Star,253226,false,false,1,0.0738,209735.34443549998,209163.40913474638,Loha C,L (Brown dwarf) Star,9,253226,0.3241,V,9694,1778,0.5387,Loha C 7,251562,Icy body,23,5123.4683,-M (Red dwarf) Star-L (Brown dwarf) Star-M (Red dwarf) Star-,1,true,2631,Va,false
Briganu,95.43,true,1,1,Briganu,1775,L (Brown dwarf) Star,0,false,false,0,,0,0,Briganu,L (Brown dwarf) Star,9,0,0.2926,V,2456,1775,0.2926,Briganu 5 a,305,Icy body,47,4148.5195,-L (Brown dwarf) Star-,1,false,,,false
Imani,95.75,true,3,3,Imani C,1773,L (Brown dwarf) Star,206083,false,false,1,0.1197,139869.95378850002,138864.30388818623,Imani C,L (Brown dwarf) Star,9,206083,0.3528,V,4550,1773,0.5416,Imani C 4,205451,Class I gas giant,61,66647.1875,-M (Red dwarf) Star-L (Brown dwarf) Star-L (Brown dwarf) Star-,1,true,2747,Va,false
Nerthus,70.91,true,2,2,Nerthus B,1773,L (Brown dwarf) Star,61910,false,false,1,0.1033,39218.2500645,39008.44203752033,Nerthus B,L (Brown dwarf) Star,9,61910,0.2874,V,7900,1773,0.5361,Nerthus B 5 a,62080,Icy body,46,638.0117,-M (Red dwarf) Star-L (Brown dwarf) Star-,1,true,3040,V,false
Sikians,46.24,true,2,2,Sikians A,1769,L (Brown dwarf) Star,0,false,false,1,0.307,1636.8861015,1557.8400769591121,Sikians A,L (Brown dwarf) Star,9,0,0.3527,V,482,1769,0.3527,Sikians A 6,581,Icy body,45,4523.0024,-L (Brown dwarf) Star-L (Brown dwarf) Star-,1,false,,,false
Trianguli Sector LT-Q a5-2,81.43,true,2,2,Trianguli Sector LT-Q a5-2 A,1766,L (Brown dwarf) Star,0,false,false,1,0.0629,12103.2165735,12079.250201266157,Trianguli Sector LT-Q a5-2 A,L (Brown dwarf) Star,9,0,0.3363,V,11068,1766,0.3363,Trianguli Sector LT-Q a5-2 A 6,3346,Icy body,20,6855.1777,-L (Brown dwarf) Star-T (Brown dwarf) Star-,0,false,,,false
